"","Country","ISO","Scenario","Value","dose_information_Intro","dose_information_NVax","severity","coverage","path"
"1","Ethiopia","ETH","all_1_10_14_cov_50","Ethiopia_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","50%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_50"
"2","Ethiopia","ETH","all_1_10_14_cov_60","Ethiopia_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","60%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_60"
"3","Ethiopia","ETH","all_1_10_14_cov_70","Ethiopia_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","70%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_70"
"4","Ethiopia","ETH","all_1_10_14_cov_80","Ethiopia_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","80%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_80"
"5","Ethiopia","ETH","all_1_10_14_cov_90","Ethiopia_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","90%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_90"
"6","Ethiopia","ETH","all_1_10_14_cov_95","Ethiopia_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","95%","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_95"
"7","Ethiopia","ETH","all_1_10_14_cov_curr","Ethiopia_MS.csv","Neonatal_1/10/14","Neonatal_1/10/14","MS","current_coverage","./input/country_select/all_uses_1_10_14/all_1_10_14_cov_curr"
"8","Ethiopia","ETH","all_1_6_10_cov_50","Ethiopia_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","50%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_50"
"9","Ethiopia","ETH","all_1_6_10_cov_60","Ethiopia_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","60%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_60"
"10","Ethiopia","ETH","all_1_6_10_cov_70","Ethiopia_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","70%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_70"
"11","Ethiopia","ETH","all_1_6_10_cov_80","Ethiopia_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","80%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_80"
"12","Ethiopia","ETH","all_1_6_10_cov_90","Ethiopia_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","90%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_90"
"13","Ethiopia","ETH","all_1_6_10_cov_95","Ethiopia_MS.csv","Neonatal_1/6/10","Neonatal_1/6/10","MS","95%","./input/country_select/all_uses_1_6_10/all_1_6_10_cov_95"
